Unidad;Reporta_a;Jurisdiccion;Subjurisdiccion;Gastos_en_Millones;RRHH
Presidencia de la Nación;;Presidencia de la Nación;;116667;16
Jefatura de Gabinete de Ministros;Presidencia de la Nación;Jefatura de Gabinete de Ministros;;56557;736
Ministerio de Capital Humano;Presidencia de la Nación;Ministerio de Capital Humano;;53450784;1676
Ministerio de Economía;Presidencia de la Nación;Ministerio de Economía;;5735002;7225
Ministerio de Salud;Presidencia de la Nación;Ministerio de Salud;;1416601;6016
Vicejefatura de Gabinete del Interior;Jefatura de Gabinete de Ministros;Jefatura de Gabinete de Ministros;;662941;1738
Secretaría de Trabajo, Empleo y Seguridad Social;Ministerio de Capital Humano;Ministerio de Capital Humano;;1166719;3293
Secretaría de Educación;Ministerio de Capital Humano;Ministerio de Capital Humano;;5928600;1161
Ministerio de Defensa;Presidencia de la Nación;Ministerio de Defensa;;1660883;1191
Secretaría de Hacienda;Ministerio de Economía;Ministerio de Economía;;0;0
Ministerio de Justicia;Presidencia de la Nación;Ministerio de Justicia;;158750;1948
Secretaría de Calidad en Salud;Ministerio de Salud;Ministerio de Salud;;0;0
Ministerio de Seguridad;Presidencia de la Nación;Ministerio de Seguridad;;2367209;840
Vicejefatura de Gabinete Ejecutiva;Jefatura de Gabinete de Ministros;Jefatura de Gabinete de Ministros;;0;0
Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;Jefatura de Gabinete de Ministros;;136244;457
Secretaría de Turismo, Ambiente y Deportes;Vicejefatura de Gabinete del Interior;Jefatura de Gabinete de Ministros;;0;0
Subsecretaría de Seguridad Social;Secretaría de Trabajo, Empleo y Seguridad Social;Ministerio de Capital Humano;;0;0
Subsecretaría de Políticas Universitarias;Secretaría de Educación;Ministerio de Capital Humano;;0;0
Secretaría de Cultura;Ministerio de Capital Humano;Ministerio de Capital Humano;;0;0
Estado Mayor Conjunto de las Fuerzas Armadas;Ministerio de Defensa;Ministerio de Defensa;;55377;215
Secretaría de Investigación, Política Industrial y Producción para la Defensa;Ministerio de Defensa;Ministerio de Defensa;;0;0
Secretaría de Transporte;Ministerio de Economía;Ministerio de Economía;;0;0
Secretaría de Obras Públicas;Ministerio de Economía;Ministerio de Economía;;0;0
Secretaría de Energía;Ministerio de Economía;Ministerio de Economía;;0;0
Secretaría de Agricultura, Ganadería y Pesca;Ministerio de Economía;Ministerio de Economía;;0;0
Secretaría de Industria y Comercio;Ministerio de Economía;Ministerio de Economía;;0;0
Secretaría de Minería;Ministerio de Economía;Ministerio de Economía;;0;0
Subsecretaría de Ingresos Públicos;Secretaría de Hacienda;Ministerio de Economía;;0;0
Secretaría de Derechos Humanos;Ministerio de Justicia;Ministerio de Justicia;;0;0
Subsecretaría de Institutos y Fiscalización;Secretaría de Calidad en Salud;Ministerio de Salud;;0;0
Secretaría de Coordinación Administrativa;Ministerio de Seguridad;Ministerio de Seguridad;;0;0
Secretaría General;Presidencia de la Nación;Presidencia de la Nación;Secretaría General;0;796
Administración de Parques Nacionales;Vicejefatura de Gabinete del Interior;Jefatura de Gabinete de Ministros;;83122;3122
Agencia de Acceso a la Información Pública;Vicejefatura de Gabinete Ejecutiva;Jefatura de Gabinete de Ministros;;2520;68
Agencia de Administración de Bienes del Estado;Vicejefatura de Gabinete Ejecutiva;Jefatura de Gabinete de Ministros;;13081;430
Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación;Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;;36087;282
Banco Nacional de Datos Genéticos;Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;;2333;86
Comisión Nacional de Actividades Espaciales;Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;;51033;534
Comisión Nacional de Energía Atómica;Jefatura de Gabinete de Ministros;Jefatura de Gabinete de Ministros;;229819;6242
Consejo Nacional de Investigaciones Científicas y Técnicas;Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;;518839;35800
Dirección Nacional de Migraciones;Vicejefatura de Gabinete del Interior;Jefatura de Gabinete de Ministros;;116818;5626
Ente Nacional de Comunicaciones;Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;;58423;1264
Instituto Nacional de Asuntos Indígenas;Vicejefatura de Gabinete del Interior;Jefatura de Gabinete de Ministros;;5374;182
Instituto Nacional de Promoción Turística;Secretaría de Turismo, Ambiente y Deportes;Jefatura de Gabinete de Ministros;;18500;80
Registro Nacional de las Personas;Vicejefatura de Gabinete del Interior;Jefatura de Gabinete de Ministros;;127667;4416
Administración Nacional de la Seguridad Social;Subsecretaría de Seguridad Social;Ministerio de Capital Humano;;0;25392
Biblioteca Nacional Doctor Mariano Moreno;Ministerio de Capital Humano;Ministerio de Capital Humano;;30290;238
