Año;Institución;Unidad;JURISDICCION;SUBJURISDICCION;CARACTER ECONOMICO;Objeto;Objeto Detalle;Monto
2025;Administración Central;Poder Legislativo Nacional;Poder Legislativo;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;438552000000 
2025;Administración Central;Poder Judicial de la Nación;Poder Judicial;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;1663510000000 
2025;Administración Central;Ministerio Público;Ministerio Público;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;674346000000 
2025;Administración Central;Secretaría General;Presidencia de la Nación;Secretaría General;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;29175000000 
2025;Administración Central;Secretaría Legal y Técnica;Presidencia de la Nación;Secretaría Legal y Técnica;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;9956000000 
2025;Administración Central;Secretaría de Inteligencia de Estado;Presidencia de la Nación;Secretaría de Inteligencia de Estado;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;65199000000 
2025;Administración Central;Jefatura de Gabinete de Ministros;Jefatura de Gabinete de Ministros;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;33682000000 
2025;Administración Central;Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;20760000000 
2025;Administración Central;Vicejefatura de Gabinete del Interior;Jefatura de Gabinete de Ministros;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;62576000000 
2025;Administración Central;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Ministerio de Relaciones Exteriores;Comercio Internacional y Culto;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;330859000000 
2025;Administración Central;Ministerio de Justicia;Ministerio de Justicia;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;47699000000 
2025;Administración Central;Procuración del Tesoro de la Nación;Ministerio de Justicia;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;4686000000 
2025;Administración Central;Ministerio de Seguridad;Ministerio de Seguridad;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;30887000000 
2025;Administración Central;Subsecretaría de Asuntos Penitenciarios;Ministerio de Seguridad;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;294533000000 
2025;Administración Central;Policía Federal Argentina;Ministerio de Seguridad;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;735985000000 
2025;Administración Central;Gendarmería Nacional Argentina;Ministerio de Seguridad;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;1008840000000 
2025;Administración Central;Prefectura Naval Argentina;Ministerio de Seguridad;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;535341000000 
2025;Administración Central;Policía de Seguridad Aeroportuaria;Ministerio de Seguridad;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;145371000000 
2025;Administración Central;Ministerio de Defensa;Ministerio de Defensa;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;27882000000 
2025;Administración Central;Estado Mayor General del Ejército Argentino;Ministerio de Defensa;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;1129540000000 
2025;Administración Central;Estado Mayor General de la Armada Argentina;Ministerio de Defensa;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;568307000000 
2025;Administración Central;Estado Mayor General de la Fuerza Aérea Argentina;Ministerio de Defensa;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;424299000000 
2025;Administración Central;Estado Mayor Conjunto de las Fuerzas Armadas;Ministerio de Defensa;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;4953000000 
2025;Administración Central;Ministerio de Economía;Ministerio de Economía;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;282665000000 
2025;Administración Central;Ministerio de Salud;Ministerio de Salud;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;133386000000 
2025;Administración Central;Ministerio de Capital Humano;Ministerio de Capital Humano;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;79480000000 
2025;Administración Central;Secretaría Nacional de Niñez, Adolescencia y Familia;Ministerio de Capital Humano;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;136994000000 
2025;Administración Central;Secretaría de Trabajo, Empleo y Seguridad Social;Ministerio de Capital Humano;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;77658000000 
2025;Administración Central;Secretaría de Educación;Ministerio de Capital Humano;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;36591000000 
2025;Administración Central;Ministerio de Desregulación y Transformación del Estado;Ministerio de Desregulación y Transformación del Estado;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;12043000000 
2025;Administración Central;Ministerio de Justicia;Ministerio de Justicia;;GASTOS CORRIENTES;GASTOS DE CONSUMO;REMUN.;2063520000000 
2025;Administración Central;Poder Legislativo Nacional;Poder Legislativo;;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;80216000000 
2025;Administración Central;Poder Judicial de la Nación;Poder Judicial;;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;64969000000 
2025;Administración Central;Ministerio Público;Ministerio Público;;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;15388000000 
2025;Administración Central;Secretaría General;Presidencia de la Nación;Secretaría General;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;80900000000 
2025;Administración Central;Secretaría Legal y Técnica;Presidencia de la Nación;Secretaría Legal y Técnica;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;1283000000 
2025;Administración Central;Secretaría de Inteligencia de Estado;Presidencia de la Nación;Secretaría de Inteligencia de Estado;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;129726000000 
2025;Administración Central;Jefatura de Gabinete de Ministros;Jefatura de Gabinete de Ministros;;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;19268000000 
2025;Administración Central;Secretaría de Innovación, Ciencia y Tecnología;Jefatura de Gabinete de Ministros;;GASTOS CORRIENTES;GASTOS DE CONSUMO;OTROS GASTOS CTES;43497000000 
