Cod_Nodo,Cod_Reporta_a_nodo,unidad,reporta_a,Cod_nodo2,EstructuraPrincipal,Gastos,RecursosHumanos,Jurisdiccion,Subjurisdiccion
A1,A610,Administración de Infraestructuras Ferroviarias S.E.,Secretaría de Transporte,A1,1,0,0,,
A2,A800,Administración de Parques Nacionales,Vicejefatura de Gabinete del Interior,A2,1,83122000000,3122,Jefatura de Gabinete de Ministros,Administración de Parques Nacionales
A3,A705,Administración de Servicios Generales,Subsecretaría de Planificación General,A3,1,0,0,,
A4,A534,Administración Federal de Ingresos Públicos,Ministerio de Economía,A4,1,0,0,,
A5,A3,Administración General de la Residencia Presidencial de Olivos,Administración de Servicios Generales,A5,1,0,0,,
A6,A610,Administración General de Puertos S.E.,Secretaría de Transporte,A6,1,0,0,,
A7,A610,Administración Nacional de Aviación Civil,Secretaría de Transporte,A7,1,63662000000,3534,Ministerio de Transporte,Administración Nacional de Aviación Civil
A8,A737,Administración Nacional de la Seguridad Social,Subsecretaría de Seguridad Social,A8,1,0,25392,,
A9,A537,"Administración Nacional de Laboratorios e Institutos de Salud ""Dr. Carlos Malbrán""",Ministerio de Salud,A9,1,50537000000,2332,Ministerio de Salud,"Administración Nacional de Laboratorios e Institutos de Salud ""Dr. Carlos Malbrán"""
A10,A537,"Administración Nacional de Medicamentos, Alimentos y Tecnología Médica",Ministerio de Salud,A10,1,44218000000,1662,Ministerio de Salud,"Administración Nacional de Medicamentos, Alimentos y Tecnología Médica"
A11,A610,Aerolíneas Argentinas S.A.,Secretaría de Transporte,A11,1,0,0,,
A12,A801,Agencia de Acceso a la Información Pública,Vicejefatura de Gabinete Ejecutiva,A12,1,2520000000,68,Jefatura de Gabinete de Ministros,Agencia de Acceso a la Información Pública
A13,A801,Agencia de Administración de Bienes del Estado,Vicejefatura de Gabinete Ejecutiva,A13,1,13081000000,430,Jefatura de Gabinete de Ministros,Agencia de Administración de Bienes del Estado
A14,A597,Agencia de Planificación,Secretaría de Obras Públicas,A14,1,0,0,,
A15,A568,Agencia de Publicidad del Estado Sociedad Anónima Unipersonal (APE S.A.U.),Secretaría de Comunicación y Medios,A15,1,0,0,,
A16,A590,Agencia de Seguridad Nacional - ASN,Secretaría de Inteligencia de Estado,A16,1,0,0,,
A17,A590,Agencia Federal de Ciberseguridad - AFC,Secretaría de Inteligencia de Estado,A17,1,0,0,,
A18,A537,Agencia Nacional de Discapacidad,Ministerio de Salud,A18,1,3194482000000,1562,Presidencia de la Nación,Agencia Nacional de Discapacidad
A19,A538,Agencia Nacional de Materiales Controlados,Ministerio de Seguridad,A19,1,0,108,Ministerio de Justicia y Derechos Humanos,Agencia Nacional de Materiales Controlados
A20,A589,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación","Secretaría de Innovación, Ciencia y Tecnología",A20,1,36087000000,282,"Ministerio de Ciencia, Tecnología e Innovación","Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación"
A21,A610,Agencia Nacional de Seguridad Vial,Secretaría de Transporte,A21,1,17865000000,702,Ministerio de Transporte,Agencia Nacional de Seguridad Vial
A22,A588,Agencia Regulatoria de la Industria del Cáñamo y del Cannabis Medicinal (ARICCAME),Secretaría de Industria y Comercio,A22,1,0,0,,
A23,A48,Agrupación Seguridad e Inteligencia,Casa Militar,A23,1,0,0,,
A24,A48,Agrupación Técnica,Casa Militar,A24,1,0,0,,
A25,A597,Agua y Saneamientos Argentinos S.A.,Secretaría de Obras Públicas,A25,1,0,0,,
A26,A580,Archivo Nacional de la Memoria,Secretaría de Derechos Humanos,A26,1,0,0,,
A27,A767,Auditoría Adjunta Áreas de Apoyo,Unidad de Auditoría Interna,A27,1,0,0,,
A28,A767,Auditoría Adjunta General de Articulación Operativa,Unidad de Auditoría Interna,A28,1,0,0,,
A29,A767,Auditoría Adjunta General en Gendarmería Nacional Argentina,Unidad de Auditoría Interna,A29,1,0,0,,
A30,A767,Auditoría Adjunta General en Policía de Seguridad Aeroportuaria,Unidad de Auditoría Interna,A30,1,0,0,,
A31,A767,Auditoría Adjunta General en Policía Federal Argentina,Unidad de Auditoría Interna,A31,1,0,0,,
A32,A767,Auditoría Adjunta General en Prefectura Naval Argentina,Unidad de Auditoría Interna,A32,1,0,0,,
A33,A767,Auditoría Adjunta General en Servicio Penitenciario Federal,Unidad de Auditoría Interna,A33,1,0,0,,
A34,A767,Auditoría Adjunta Operacional,Unidad de Auditoría Interna,A34,1,0,0,,
A35,A233,Auditoría de Asuntos Internos,Dirección de Control Policial de la Policía de Seguridad Aeroportuaria,A35,1,0,0,,
A36,A767,Auditoría Interna Adjunta General,Unidad de Auditoría Interna,A36,1,0,0,,
A37,A597,Autoridad de Cuenca Matanza Riachuelo,Secretaría de Obras Públicas,A37,1,0,0,,
A38,A614,Autoridad Regulatoria Nuclear,Secretaría General de la Presidencia de la Nación,A38,1,21202000000,668,Presidencia de la Nación,Autoridad Regulatoria Nuclear
A39,A531,Ballet Nacional,Ministerio de Capital Humano,A39,1,0,0,,
A40,A534,Banco Central de la República Argentina,Ministerio de Economía,A40,1,0,0,,
A41,A534,Banco de Inversión y Comercio Exterior S.A.,Ministerio de Economía,A41,1,0,0,,
A42,A534,Banco de la Nación Argentina,Ministerio de Economía,A42,1,0,0,,
A43,A534,Banco Hipotecario S.A.,Ministerio de Economía,A43,1,0,0,,
A44,A589,Banco Nacional de Datos Genéticos,"Secretaría de Innovación, Ciencia y Tecnología",A44,1,2333000000,86,"Ministerio de Ciencia, Tecnología e Innovación",Banco Nacional de Datos Genéticos (BNDG)
A45,A610,Belgrano Cargas y Logística S.A.,Secretaría de Transporte,A45,1,0,0,,
A46,A531,Biblioteca Nacional Doctor Mariano Moreno,Ministerio de Capital Humano,A46,1,30290000000,238,Ministerio de Cultura,Biblioteca Nacional
A47,A569,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal",Secretaría de Coordinación Administrativa,A47,1,0,282,,
A48,A614,Casa Militar,Secretaría General de la Presidencia de la Nación,A48,1,0,0,,
A49,A531,Casa Patria Grande 'Presidente Néstor Carlos Kirchner',Ministerio de Capital Humano,A49,1,0,0,,
A50,A683,Centro Cultural del Bicentenario 'Presidente Dr. Néstor Carlos Kirchner',Subsecretaría de Gestión y Desarrollo Cultural,A50,1,0,0,,
A51,A580,Centro Internacional para la Promoción de los Derechos Humanos,Secretaría de Derechos Humanos,A51,1,700000000,66,Ministerio de Justicia y Derechos Humanos,Centro Internacional para la Promoción de los Derechos Humanos
A52,A531,Cinemateca y Archivo de la Imagen Nacional,Ministerio de Capital Humano,A52,1,0,0,,
A53,A583,Comisión Mixta Argentino-Paraguaya del Río Paraná,Secretaría de Energía,A53,1,0,0,,
A54,A611,Comisión Nacional Antidopaje,"Secretaría de Turismo, Ambiente y Deportes",A54,1,0,0,,
A55,A589,Comisión Nacional de Actividades Espaciales,"Secretaría de Innovación, Ciencia y Tecnología",A55,1,51033000000,534,"Ministerio de Ciencia, Tecnología e Innovación",Comisión Nacional de Actividades Espaciales
A56,A588,Comisión Nacional de Comercio Exterior,Secretaría de Industria y Comercio,A56,1,0,0,,
A57,A617,Comisión Nacional de Coordinación del Programa de Promoción del Microcrédito para el Desarrollo de la Economía Social,"Secretaría Nacional de Niñez, Adolescencia y Familia",A57,1,0,0,,
A58,A588,Comisión Nacional de Defensa de la Competencia,Secretaría de Industria y Comercio,A58,1,0,0,,
A59,A529,Comisión Nacional de Energía Atómica,Jefatura de Gabinete de Ministros,A59,1,229819000000,6242,Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA)
A60,A562,Comisión Nacional de Evaluación de Tecnologías Sanitarias y Excelencia Clínica (CONETEC),Secretaría de Acceso y Equidad en Salud,A60,1,0,0,,
A61,A715,Comisión Nacional de Evaluación y Acreditación Universitaria,Subsecretaría de Políticas Universitarias,A61,1,4575000000,170,Ministerio de Educación,Comisión Nacional de Evaluación y Acreditación Universitaria
A62,A579,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos",Secretaría de Cultura,A62,1,0,0,,
A63,A610,Comisión Nacional de Regulación del Transporte,Secretaría de Transporte,A63,1,34176000000,156,Ministerio de Transporte,Comisión Nacional de Regulación de Transporte
A64,A534,Comisión Nacional de Valores,Ministerio de Economía,A64,1,17421000000,506,Ministerio de Economía,Comisión Nacional de Valores
A65,A579,Comisión Nacional Protectora de Bibliotecas Populares,Secretaría de Cultura,A65,1,0,0,,
A66,A583,Comisión Técnica Mixta de Salto Grande,Secretaría de Energía,A66,1,0,0,,
A67,A531,Consejo Nacional de Coordinación de Políticas Sociales,Ministerio de Capital Humano,A67,1,0,0,Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales
A68,A589,Consejo Nacional de Investigaciones Científicas y Técnicas,"Secretaría de Innovación, Ciencia y Tecnología",A68,1,518839000000,35800,"Ministerio de Ciencia, Tecnología e Innovación",Consejo Nacional de Investigaciones Científicas y Técnicas
A69,A532,Construcción de Vivienda para la Armada,Ministerio de Defensa,A69,1,0,0,,
A70,A568,Contenidos Públicos S.E.,Secretaría de Comunicación y Medios,A70,1,0,0,,
A71,A345,Coordinación de Acceso a la Información Pública,Dirección General de Asuntos Jurídicos,A71,1,0,0,,
A72,A342,"Coordinación de Administración de Bienes, Servicios y Patrimonio",Dirección General de Administración,A72,1,0,0,,
A73,A389,Coordinación de Administración de Pasos Fronterizos,Dirección Nacional de Control de Fronteras e Hidrovías,A73,1,0,0,,
A74,A342,Coordinación de Administración de Vocería y Comunicación de Gobierno,Dirección General de Administración,A74,1,0,0,,
A75,A364,Coordinación de Administración del Personal,Dirección General de Recursos Humanos,A75,1,0,0,,
A76,A453,Coordinación de Administración y Planificación Logística,Dirección Operativa de Comunicación Digital de la Presidencia de la Nación,A76,1,0,0,,
A77,A378,Coordinación de Admisión y Derivación de Denuncias,Dirección Nacional de Asuntos Estratégicos,A77,1,0,0,,
A78,A277,Coordinación de Análisis de Información,Dirección de Investigaciones,A78,1,0,0,,
A79,A295,Coordinación de Análisis de Proyectos y Cadenas de Valor,Dirección de Política Industrial y Producción para la Defensa,A79,1,0,0,,
A80,A427,Coordinación de Análisis Internacional,Dirección Nacional de Política Internacional para la Defensa,A80,1,0,0,,
A81,A345,Coordinación de Análisis y Asistencia Jurídica,Dirección General de Asuntos Jurídicos,A81,1,0,0,,
A82,A229,Coordinación de Aprobación de Gastos y Consolidación de la Deuda,Dirección de Contabilidad,A82,1,11667602000000,0,Servicio de la Deuda Pública,Servicio de la Deuda Pública
A83,A405,Coordinación de Articulación de Ciencia y Tecnología para la Defensa,"Dirección Nacional de Investigación, Desarrollo, Innovación y Transferencia para la Defensa",A83,1,0,0,,
A84,A345,Coordinación de Asesoramiento Legal en Contrataciones,Dirección General de Asuntos Jurídicos,A84,1,0,0,,
A85,A473,Coordinación de Asesoramiento Notarial,Escribanía General del Gobierno de la Nación,A85,1,0,0,,
A86,A265,Coordinación de Asuntos en Materia Contenciosa,Dirección de Gestión Judicial,A86,1,0,0,,
A87,A244,Coordinación de Asuntos Registrales,Dirección de Dictámenes,A87,1,0,0,,
