Año;Unidad;Institucion;JURISDICCION;SUBJURISDICCION;Cargo /Hrs;Tipo Contratación;Cantidad Cargos
2025;Poder Legislativo Nacional;Administración Central;Poder Legislativo;;CARGOS;PERMANENTES;9774
2025;Auditoría General de la Nación;Administración Central;Poder Legislativo;;CARGOS;PERMANENTES;1779
2025;Poder Judicial de la Nación;Administración Central;Poder Judicial;;CARGOS;PERMANENTES;24869
2025;Ministerio Público;Administración Central;Ministerio Público;;CARGOS;PERMANENTES;10685
2025;Secretaría General;Administración Central;Presidencia de la Nación;Secretaría General;CARGOS;PERMANENTES;796
2025;Secretaría Legal y Técnica;Administración Central;Presidencia de la Nación;Secretaría Legal y Técnica;CARGOS;PERMANENTES;488
2025;Secretaría de Inteligencia de Estado;Administración Central;Presidencia de la Nación;Secretaría de Inteligencia de Estado;CARGOS;PERMANENTES;5
2025;Sindicatura General de la Nación;Administración Central;Presidencia de la Nación;;CARGOS;PERMANENTES;430
2025;Autoridad Regulatoria Nuclear;Administración Central;Presidencia de la Nación;Secretaría General;CARGOS;PERMANENTES;334
2025;Jefatura de Gabinete de Ministros;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;735
2025;Secretaría de Innovación, Ciencia y Tecnología;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;457
2025;Vicejefatura de Gabinete del Interior;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;1686
2025;Consejo Nacional de Investigaciones Científicas y Técnicas;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;17900
2025;Jefatura de Gabinete de Ministros;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;3121
2025;Comisión Nacional de Actividades Espaciales;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;267
2025;Administración de Parques Nacionales;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;1561
2025;Instituto Nacional de Asuntos Indígenas;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;83
2025;Instituto Nacional de Promoción Turística;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;40
2025;Secretaría de Innovación, Ciencia y Tecnología;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;43
2025;Secretaría de Innovación, Ciencia y Tecnología;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;141
2025;Vicejefatura de Gabinete del Interior;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;2208
2025;Dirección Nacional de Migraciones;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;2794
2025;Agencia de Administración de Bienes del Estado;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;215
2025;Ente Nacional de Comunicaciones;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;626
2025;Agencia de Acceso a la Información Pública;Administración Central;Jefatura de Gabinete de Ministros;;CARGOS;PERMANENTES;34
2025;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Administración Central;Ministerio de Relaciones Exteriores;Comercio Internacional y Culto;CARGOS;PERMANENTES;2566
2025;Ministerio de Justicia;Administración Central;Ministerio de Justicia;;CARGOS;PERMANENTES;1948
2025;Procuración del Tesoro de la Nación;Administración Central;Ministerio de Justicia;;CARGOS;PERMANENTES;241
2025;Centro Internacional para la Promoción de los Derechos Humanos;Administración Central;Ministerio de Justicia;;CARGOS;PERMANENTES;33
2025;Ministerio de Justicia;Administración Central;Ministerio de Justicia;;CARGOS;PERMANENTES;320
2025;Ministerio de Seguridad;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;840
2025;Subsecretaría de Asuntos Penitenciarios;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;16654
2025;Policía Federal Argentina;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;31854
2025;Gendarmería Nacional Argentina;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;40306
2025;Prefectura Naval Argentina;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;23103
2025;Policía de Seguridad Aeroportuaria;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;5657
2025;Agencia Nacional de Materiales Controlados;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;54
2025;Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal;Administración Central;Ministerio de Seguridad;;CARGOS;PERMANENTES;141
2025;Ministerio de Defensa;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;753
2025;Estado Mayor General del Ejército Argentino;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;59648
2025;Estado Mayor General de la Armada Argentina;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;25059
2025;Estado Mayor General de la Fuerza Aérea Argentina;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;21717
2025;Estado Mayor Conjunto de las Fuerzas Armadas;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;159
2025;Instituto Geográfico Nacional;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;199
2025;Servicio Meteorológico Nacional;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;436
2025;Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares;Administración Central;Ministerio de Defensa;;CARGOS;PERMANENTES;156
2025;Ministerio de Economía;Administración Central;Ministerio de Economía;;CARGOS;PERMANENTES;7119
2025;Instituto Nacional del Agua;Administración Central;Ministerio de Economía;;CARGOS;PERMANENTES;405
2025;Agencia Nacional de Seguridad Vial;Administración Central;Ministerio de Economía;;CARGOS;PERMANENTES;351
